x-coordinate,y_coordinate,Total counts,Total counts uncertainty,Mean background count
172,264,2746.7743803224694,52.409678307755996,3424.4339433256555
87,123,3345.133117088948,57.83712576787463,3424.4339433256555
116,141,5052.152420598872,71.07849478287277,3424.4339433256555
214,259,2414.208323648125,49.134593960346564,3424.4339433256555
217,59,2612.604663694192,51.11364459412175,3424.4339433256555
235,23,635.7926800921341,25.21492970626994,3424.4339433256555
7,400,282773.3364840108,531.7643618032434,3424.5933931009663
102,6,28530.266731585387,168.9090486965852,3424.5933931009663
28,390,12635.111752066701,112.4060129711338,3424.5933931009663
83,166,9114.880510600497,95.47188335107094,3424.5933931009663
9,104,5935.429448437197,77.04173835290321,3424.5933931009663
23,162,15302.288345311632,123.70241851035748,3424.5933931009663
230,107,220.8132137980674,14.859785119511903,3424.5933931009663
106,284,8803.726758893732,93.82817678551434,3424.5933931009663
231,390,4448.51713115362,66.6972048226432,3424.5933931009663
0,99,1312.7255310816404,36.23155435641204,3424.5933931009663
83,9,4158.71533812463,64.48810229898713,3424.5933931009663
2,120,2443.7039173555504,49.43383373111528,3424.5933931009663
60,6,154.8132137980674,12.442395822271022,3424.5933931009663
91,7,401.87928278840445,20.046927016089136,3424.5933931009663
82,95,717.2858896874382,26.782193518967752,3424.5933931009663
112,2,483.47267588937075,21.988012094988733,3424.5933931009663
57,5,1067.9453517787415,32.67943316183348,3424.5933931009663
49,12,95.21982069710111,9.7580643929573,3424.5933931009663
105,317,3427.429448437191,58.54425205293164,3424.5933931009663
48,7,160.2198206971011,12.657796834248096,3424.5933931009663
217,1,100.62642759613482,10.03127248140209,3424.5933931009663
196,3,342.28588968743816,18.50096996612443,3424.5933931009663
90,5,271.0330344951685,16.463080953915295,3424.5933931009663
14,8,174.2198206971011,13.199235610333695,3424.5933931009663
204,2,125.81321379806741,11.216648955818641,3424.5933931009663
29,0,121.81321379806741,11.036902364253631,3424.5933931009663
206,1,105.62642759613482,10.277471848472016,3424.5933931009663
41,9,75.4066068990337,8.683697766449136,3424.5933931009663
4,7,74.4066068990337,8.625926437144807,3424.5933931009663
41,5,73.4066068990337,8.56776557213336,3424.5933931009663
21,6,110.81321379806741,10.526785539663445,3424.5933931009663
194,13,135.62642759613482,11.645875990930644,3424.5933931009663
89,0,72.4066068990337,8.509207183929282,3424.5933931009663
184,2,72.4066068990337,8.509207183929282,3424.5933931009663
39,6,142.2198206971011,11.925595192572198,3424.5933931009663
48,0,120.81321379806741,10.991506438976753,3424.5933931009663
229,0,114.81321379806741,10.715092803987627,3424.5933931009663
212,1,32.62642759613482,5.711954796401563,3424.5933931009663
52,3,116.62642759613482,10.799371629689146,3424.5933931009663
59,4,162.2198206971011,12.736554506502184,3424.5933931009663
76,365,862328.0398942356,928.6161962265334,3415.3177203899168
192,219,64903.36224435602,254.76138295345316,3415.3177203899168
